"Date","Group","Item","Amount"
23/12/20,Eating out,Lunch,53.50,
18/12/20,Eating out,Lunch,50.34,
07/12/20,Utilites,Phone bill,99.00,
31/12/20,Transport,uber,30.34,
30/12/20,Transport,uber,14.13,
30/12/20,Transport,uber,12.83,
27/12/20,Transport,uber,25.65,
27/12/20,Transport,uber,30.68,
24/12/20,Transport,car petrol,20.00,
18/12/20,Transport,uber,45.15,
11/12/20,Transport,translink,20.00,
06/12/20,Transport,car petrol,20.00,
31/12/20,Groceries,new years groceries,4.49,
26/12/20,Groceries,Groceries,82.94,
19/12/20,Groceries,Groceries,8.00,
19/12/20,Groceries,Groceries,111.32,
12/12/20,Groceries,Groceries,96.84,
10/12/20,Groceries,Groceries,12.40,
05/12/20,Groceries,Groceries,137.90,
25/12/20,Entertainment,Rent movie,4.99,
20/12/20,Entertainment,drinks,36.80,
19/12/20,Entertainment,drinks,7.11,
18/12/20,Entertainment,drinks,23.00,
18/12/20,Entertainment,drinks,19.99,
18/12/20,Entertainment,drinks,11.00,
18/12/20,Entertainment,drinks,11.00,
11/12/20,Entertainment,drinks,12.70,
11/12/20,Entertainment,drinks,76.76,
10/12/20,Entertainment,EB games,79.93,
07/12/20,Entertainment,Amazon,16.99,
04/12/20,Entertainment,Substances,200.00,
31/12/20,Shopping,Liquor,65.50,
21/12/20,Shopping,Amazon,55.96,
18/12/20,Shopping,Liquor,64.00,
18/12/20,Shopping,Kmart,38.00,
16/12/20,Shopping,Cotton on,60.00,
07/12/20,Shopping,Amazon,35.98,
05/12/20,Shopping,Paintings,210.00,
05/12/20,Shopping,Kmart,4.00,
05/12/20,Shopping,Haircut,35.95,
02/12/20,Shopping,eBay,12.99,
29/12/20,Home,Morgage repayment,60.00,
29/12/20,Home,Morgage repayment,296.00,
22/12/20,Home,Morgage repayment,60.00,
22/12/20,Home,Morgage repayment,296.00,
19/12/20,Home,Bunnings,98.96,
15/12/20,Home,Morgage repayment,60.00,
15/12/20,Home,Morgage repayment,296.00,
08/12/20,Home,Morgage repayment,60.00,
08/12/20,Home,Morgage repayment,296.00,
01/12/20,Home,Morgage repayment,60.00,
01/12/20,Home,Morgage repayment,296.00,
