"Date","Group","Item","Amount"
12/2/21,Entertainment,drinking,19.24,
12/2/21,Entertainment,drinking,9.62,
12/2/21,Entertainment,drinking,15.19,
12/2/21,Entertainment,drinking,19.24,
09/2/21,Entertainment,drinking,19.21,
12/2/21,Eating Out,Howards smith wharf,13.13,
10/2/21,Eating Out,Sushi,14.00,
13/2/21,Transport,Translink,20.00,
09/2/21,Transport,Uber,7.91,
20/2/21,Shopping,Haircut,39.95,
08/2/21,Shopping,Amazon books,16.98,
06/2/21,Shopping,Liqour gift,60.00,
04/2/21,Shopping,Amazon books,41.75,
27/2/21,Groceries,Groceries,85.80,
20/2/21,Groceries,Groceries,144.02,
13/2/21,Groceries,Groceries,80.09,
06/2/21,Groceries,Groceries,110.21,
22/2/21,Utilities,Body Corporate,661.25,
08/2/21,Utilities,Origin Energy,156.11,
04/2/21,Utilities,Phone bill,58.06,
01/2/21,Utilities,Home internet,70.00,
23/2/21,Home,Loan repayment,60.00,
23/2/21,Home,Loan repayment,296.00,
17/2/21,Home,Loan repayment,1000.00,
16/2/21,Home,Loan repayment,60.00,
16/2/21,Home,Loan repayment,296.00,
09/2/21,Home,Loan repayment,60.00,
09/2/21,Home,Loan repayment,296.00,
02/2/21,Home,Loan repayment,60.00,
02/2/21,Home,Loan repayment,296.00,
01/2/21,Home,Council Rates,304.00,
01/2/21,Home,Garage door service,145.00,
16/2/21,Business,Coinspot,5.00,
01/2/21,Business,AU Shares,966.06,
01/2/21,Business,US Shares,2000.00,
