"Date","Group","Item","Amount"
2/3/17,Transport,taxi,7.64,
2/4/17,Transport,taxi,5.10,
2/15/17,Transport,taxi,6.30,
2/18/17,Transport,taxi,50.00,
2/20/17,Transport,taxi,8.03,
2/20/17,Transport,taxi,9.55,
2/25/17,Transport,taxi,40.00,
2/25/17,Transport,taxi,25.00,
2/26/17,Transport,taxi,20.00,
2/26/17,Transport,car,6.00,
2/28/17,Transport,taxi,10.00,
3/11/17,Transport,taxi,22.93,
3/11/17,Transport,taxi,11.49,
3/18/17,Transport,plane,"2,115.00",
3/25/17,Transport,taxi,7.73,
3/25/17,Transport,taxi,8.17,
4/2/17,Transport,taxi,10.17,
4/8/17,Transport,taxi,7.92,
4/8/17,Transport,taxi,8.36,
4/11/17,Transport,taxi,16.15,
4/16/17,Transport,car,87.00,
4/16/17,Transport,plane,440.40,
4/22/17,Transport,taxi,2.20,
4/23/17,Transport,benz,36.64,
4/28/17,Transport,taxi,120.00,
4/30/17,Transport,taxi,50.00,
5/1/17,Transport,taxi,55.00,
5/6/17,Transport,taxi,6.77,
5/7/17,Transport,taxi,13.75,
5/13/17,Transport,taxi,9.38,
5/13/17,Transport,taxi,10.26,
5/14/17,Transport,train,20.00,
5/16/17,Transport,taxi,9.95,
5/20/17,Transport,taxi,8.05,
5/20/17,Transport,uber,8.05,
5/21/17,Transport,taxi,11.00,
5/22/17,Transport,plane,410.00,
5/25/17,Transport,car,260.16,
5/26/17,Transport,uber,13.74,
5/26/17,Transport,taxi,13.74,
5/29/17,Transport,benz,25.50,
5/29/17,Transport,benz,19.90,
6/4/17,Transport,taxi,8.78,
6/4/17,Transport,uber,8.78,
6/8/17,Transport,uber,6.99,
6/8/17,Transport,taxi,20.00,
6/10/17,Transport,taxi,6.99,
6/22/17,Transport,taxi,6.99,
6/23/17,Transport,taxi,6.99,
6/25/17,Transport,zipcar,37.50,
6/27/17,Transport,taxi,6.99,
7/2/17,Transport,taxi,6.99,
7/2/17,Transport,taxi,6.99,
7/9/17,Transport,benz,18.56,
7/9/17,Transport,benz,7.76,
7/13/17,Transport,car,67.00,
7/16/17,Transport,taxi,8.68,
7/17/17,Transport,car,10.00,
7/21/17,Transport,taxi,10.55,
7/22/17,Transport,taxi,11.67,
7/29/17,Transport,"uber",10.77,
7/30/17,Transport,"taxi",9.33,
7/30/17,Transport,"taxi",10.14,
8/5/17,Transport,Bikeshare,6.56,
8/15/17,Transport,uber,31.09,
8/17/17,Transport,uber,11.08,
8/26/17,Transport,Bikeshare,3.00,
8/26/17,Transport,Bikeshare,3.00,
8/27/17,Transport,uber,11.32,
8/29/17,Transport,Bikeshare,3.28,
9/11/17,Transport,uber,10.70,
9/15/17,Transport,uber,11.17,
9/16/17,Transport,Bikeshare,10.00,
9/17/17,Transport,uber,11.62,
9/21/17,Transport,Bikeshare,3.00,
10/1/17,Transport,uber,8.85,
10/6/17,Transport,uber,11.82,
10/7/17,Transport,uber,11.67,
10/7/17,Transport,venmo,23.00,
10/13/17,Transport,uber,8.00,
10/16/17,Transport,car,166.91,
10/16/17,Transport,Bikeshare,3.00,
10/18/17,Transport,toys,118.53,
10/20/17,Transport,uber,8.98,
10/22/17,Transport,zipcar,13.57,
10/23/17,Transport,"car",186.25,
10/25/17,Transport,uber,11.65,
10/27/17,Transport,uber,17.29,
10/29/17,Transport,uber,12.64,
10/29/17,Transport,zipcar,40.69,
11/4/17,Transport,Bikeshare,6.00,
11/5/17,Transport,Bikeshare,3.00,
11/10/17,Transport,uber,9.86,
11/11/17,Transport,uber,12.48,
11/11/17,Transport,zipcar,11.94,
11/18/17,Transport,uber,6.11,
11/25/17,Transport,benz,32.74,
11/26/17,Transport,parking,10.00,
11/27/17,Transport,,11.30,
11/29/17,Transport,Bikeshare,3.28,
11/30/17,Transport,Bikeshare,3.00,
11/30/17,Transport,tolls,4.12,
12/3/17,Transport,uber,33.24,
12/6/17,Transport,uber,31.84,
12/6/17,Transport,uber,17.23,
12/7/17,Transport,uber,11.10,
12/7/17,Transport,Bikeshare,3.28,
12/7/17,Transport,Bikeshare,3.28,
12/8/17,Transport,uber,13.29,
12/9/17,Transport,uber,9.11,
12/9/17,Transport,uber,13.14,
12/10/17,Transport,uber,13.14,
12/10/17,Transport,uber,9.73,
12/11/17,Transport,Bikeshare,3.28,
12/11/17,Transport,Bikeshare,6.56,
12/12/17,Transport,Bikeshare,10.93,
12/14/17,Transport,Bikeshare,9.60,
12/14/17,Transport,Bikeshare,3.28,
12/17/17,Transport,car,74.71,
12/18/17,Transport,Bikeshare,3.28,
12/18/17,Transport,Bikeshare,6.56,
12/19/17,Transport,uber,10.64,
12/21/17,Transport,Bikeshare,6.56,
12/24/17,Transport,airplane,156.10,
12/26/17,Transport,plane,25.00,
12/26/17,Transport,bus,28.36,
12/30/17,Transport,Bikeshare,3.00,
1/1/18,Transport,uber,34.14,
1/4/18,Transport,Bikeshare,3.28,
1/9/18,Transport,Bikeshare,6.56,
1/11/18,Transport,Bikeshare,6.56,
1/13/18,Transport,uber,11.06,
1/15/18,Transport,uber,9.46,
1/15/18,Transport,Bikeshare,3.28,
1/17/18,Transport,Bikeshare,6.56,
1/22/18,Transport,Bikeshare,6.28,
1/23/18,Transport,Bikeshare,6.56,
1/28/18,Transport,uber,10.30,
1/28/18,Transport,uber,10.30,
